"EntrezGeneID"	"Length"
"261"	67080	834
"262"	17700	2682
"263"	69397	627
"264"	227099	3032
"265"	227102	1846
"266"	72085	2283
"267"	70396	2362
"268"	627872	12272
"269"	98267	3278
"270"	329152	11336
"271"	78016	3807
"272"	98488	3005
"273"	241062	10579
"274"	329154	6140
"275"	81898	6192
"276"	67876	1733
"277"	15510	2332
"278"	15528	768
"279"	19070	2826
"280"	74013	3677
"281"	212679	2882
"282"	75388	1258
"283"	227120	6555
"284"	626009	1369
"285"	329159	1906
"286"	71066	1408
"287"	212712	5286
"288"	329160	3728
"289"	407809	3304
"290"	75323	2052
"291"	73467	3008
"292"	68736	1442
"293"	68115	1325
"294"	67198	4045
"295"	51960	2733
"296"	68549	5416
"297"	11761	4382
"298"	71724	4360
"299"	71872	4973
"300"	213043	4776
"301"	66882	2833
"302"	12747	3088
"303"	70225	1630
"304"	65102	2105
"305"	18393	3371
"306"	100504455	2126
"307"	213056	8695
"308"	66495	532
"309"	100504501	936
"310"	108812	1579
"311"	12633	7814
"312"	12370	2777
"313"	70827	6240
"314"	227154	2318
"315"	73463	2131
"316"	381259	1972
"317"	227157	3087
"318"	74018	7038
"319"	271697	1477
"320"	14369	4809
"321"	381260	3595
"322"	22218	1215
"323"	55989	1976
"324"	100217459	53
"325"	100217421	63
"326"	12168	3507
"327"	100504533	314
"328"	72750	5532
"329"	70375	3650
"330"	57750	3376
"331"	241066	2604
"332"	100504573	431
"333"	269198	12108
"334"	77951	1501
"335"	329165	5974
"336"	77300	9117
"337"	100043027	207
"338"	100042533	791
"339"	12487	4317
"340"	100504618	845
"341"	12477	1931
"342"	54167	3254
"343"	77341	892
"344"	72823	8392
"345"	18187	8122
"346"	74992	895
"347"	227195	13529
"348"	100380944	1802
"349"	100504668	1301
"350"	227197	2927
"351"	55949	1933
"352"	100217464	113
"353"	241070	1606
"354"	73884	12621
"355"	23792	6879
"356"	241073	2427
"357"	76668	1711
"358"	75619	3205
"359"	74426	1756
"360"	433315	1432
"361"	93691	1344
"362"	12912	8421
"363"	67099	2666
"364"	69941	713
"365"	227210	2927
"366"	14367	6914
"367"	241075	8562
"368"	70861	1353
"369"	667276	1020
"370"	12968	642
"371"	12967	635
"372"	12966	612
"373"	12965	605
"374"	12964	615
"375"	98303	2180
"376"	15926	2438
"377"	18711	11255
"378"	213527	2414
"379"	12969	622
"380"	17756	5520
"381"	100038569	1663
"382"	329178	13533
"383"	66646	2630
"384"	68691	4760
"385"	11363	1892
"386"	100862127	515
"387"	17901	1111
"388"	14768	4461
"389"	227231	4704
"390"	13869	4257
"391"	100502712	2069
"392"	22779	9424
"393"	66722	2270
"394"	320460	4655
"395"	12021	5448
"396"	74591	8323
"397"	108147	2611
"398"	14268	8312
"399"	100042814	1193
"400"	667931	1019
"401"	71134	1093
"402"	433319	483
"403"	381269	2493
"404"	111175	1186
"405"	271711	2815
"406"	22596	2556
"407"	381270	4187
"408"	54380	6715
"409"	319695	4573
"410"	19981	588
"411"	16008	1330
"412"	16011	5854
"413"	21958	427
"414"	69449	571
"415"	723792	1560
"416"	78718	551
"417"	109198	1801
"418"	21961	9966
"419"	435626	2336
"420"	100862357	817
"421"	12765	3043
"422"	227288	1125
"423"	100316687	67
"424"	76709	1597
"425"	227289	990
"426"	227290	1820
"427"	56695	3501
"428"	69660	2309
"429"	241112	2101
"430"	18173	2304
"431"	227292	2776
"432"	387219	85
"433"	22349	3117
"434"	319651	7196
"435"	58184	3266
"436"	18802	3121
"437"	77264	7472
"438"	66821	1829
"439"	57751	1475
"440"	269209	5235
"441"	67534	4253
"442"	104086	1890
"443"	241113	2832
"444"	22420	2068
"445"	22409	1962
"446"	12570	2704
"447"	260298	1479
"448"	12958	702
"449"	723900	64
"450"	241116	5718
"451"	16147	2444
"452"	75570	860
"453"	22626	2059
"454"	69171	2738
"455"	227298	2557
"456"	68818	1299
"457"	74104	2934
"458"	245860	3764
"459"	52231	2764
"460"	74577	3451
"461"	20872	2885
"462"	22145	2053
"463"	381272	767
"464"	56812	3203
"465"	19275	3535
"466"	19711	710
"467"	13437	1946
"468"	13346	2150
"469"	100503248	676
"470"	11790	11933
"471"	69080	1528
"472"	100862164	449
"473"	241118	2650
"474"	74241	3235
"475"	319998	2185
"476"	98733	5770
"477"	16322	1463
"478"	71728	4458
"479"	20536	4441
"480"	100862333	771
"481"	620079	2188
"482"	13838	6328
"483"	18505	3868
"484"	100039210	1208
"485"	433323	3998
"486"	23874	2132
"487"	68393	1206
"488"	74205	3950
"489"	195434	3981
"490"	57814	2463
"491"	20254	2485
"492"	100862182	832
"493"	252903	2876
"494"	69368	4714
"495"	100038695	1791
"496"	69163	1424
"497"	100862198	480
"498"	20720	2055
"499"	241128	2862
"500"	26554	2764
"501"	72208	394
"502"	210293	7303
"503"	241134	4919
"504"	16367	9163
"505"	100503073	3039
"506"	76867	3757
"507"	100503095	2833
"508"	12829	7808
"509"	12828	8609
"510"	75734	1866
"511"	66261	1503
"512"	100044526	654
"513"	15463	3137
"514"	80721	2974
"515"	71386	992
"516"	20297	802
"517"	71227	1670
"518"	77629	6512
"519"	98496	2667
"520"	227325	3632
"521"	100628595	77
"522"	14897	9632
"523"	66153	900
"524"	71781	2349
"525"	100503433	891
"526"	381287	1760
"527"	621875	1334
"528"	100040135	1348
"529"	665378	1621
"530"	620078	1971
"531"	100040213	891
"532"	100039794	1073
"533"	665338	891
"534"	109032	1971
"535"	434484	2417
"536"	100503502	852
"537"	100503045	659
"538"	20684	2158
"539"	319997	1936
"540"	12283	3800
"541"	64294	2024
"542"	71141	1148
"543"	227326	2550
"544"	70060	1602
"545"	72792	3331
"546"	70247	3256
"547"	15559	2072
"548"	78795	5258
"549"	100861644	653
"550"	227327	2595
"551"	383538	483
"552"	17975	8257
"553"	100303740	116
"554"	80828	68
"555"	319336	1266
"556"	14767	1218
"557"	71863	1721
"558"	19231	1192
"559"	18582	1092
"560"	26895	2231
"561"	18159	1042
"562"	208718	3171
"563"	11650	2113
"564"	76768	2337
"565"	11648	1680
"566"	13599	2698
"567"	69453	1999
"568"	11447	2910
